date,tvl_usd
2021-09-01,473417
2021-10-01,965690309
2021-11-01,2416302863
2021-12-01,1980965797
2022-01-01,1686459388
2022-02-01,1580196516
2022-03-01,1629159012
2022-04-01,1730188409
2022-05-01,1419577752
2022-06-01,1016825921
2022-07-01,673148033
2022-08-01,749627296
2022-09-01,888688996
2022-10-01,911964978
2022-11-01,1010313199
2022-12-01,975696284
2023-01-01,996497986
2023-02-01,1197952613
2023-03-01,1911209126
2023-04-01,2306354065
2023-05-01,2268273270
2023-06-01,2293287709
2023-07-01,2196538058
2023-08-01,2051191992
2023-09-01,1688342324
2023-10-01,1714099311
2023-11-01,1821197199
2023-12-01,2076350923
2024-01-01,2309943035
2024-02-01,2346963769
2024-03-01,2824539205
2024-04-01,2853091879
2024-05-01,2385837839
2024-06-01,2984314775
2024-07-01,2698670287
2024-08-01,3063145951
2024-09-01,2630063629
2024-10-01,2445388345
2024-11-01,2330357233
2024-12-01,3133383536
2025-01-01,2923557098
2025-02-01,3012572234
2025-03-01,2456726504
2025-04-01,2311485713
2025-05-01,2146526063
2025-06-01,2406142382
2025-07-01,2473756523
2025-08-01,2851662178
2025-09-01,3125023027
2025-10-01,3441343897
2025-11-01,3427316402
2025-12-01,2797301025
2026-01-01,2893623349
2026-02-01,2541656149
2026-03-01,1987949072
2026-04-01,1926729141
2026-05-01,1659022481
2026-05-27,1517598957
