date,tvl_usd
2021-06-04,0
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,0
2021-06-11,0
2021-06-12,0
2021-06-13,0
2021-06-14,0
2021-06-15,0
2021-06-16,0
2021-08-17,0
2021-08-18,0
2021-08-19,0
2021-08-20,0
2021-08-21,0
2021-08-22,0
2021-08-23,0
2021-08-24,0
2021-08-25,0
2021-08-26,0
2021-08-27,0
2021-08-28,0
2021-08-29,0
2021-08-30,0
2021-08-31,3119
2021-09-01,473417
2021-09-02,8167686
2021-09-03,12221890
2021-09-04,12538201
2021-09-05,14102394
2021-09-06,15586949
2021-09-07,26672050
2021-09-08,34848322
2021-09-09,37349317
2021-09-10,42532144
2021-09-11,49742853
2021-09-12,81508397
2021-09-13,127215078
2021-09-14,166938737
2021-09-15,230778004
2021-09-16,305908367
2021-09-17,342543866
2021-09-18,597421147
2021-09-19,658837061
2021-09-20,635391659
2021-09-21,584649521
2021-09-22,682082361
2021-09-23,717266879
2021-09-24,732869442
2021-09-25,811531502
2021-09-26,863251570
2021-09-27,901167499
2021-09-28,883957378
2021-09-29,882932221
2021-09-30,915418690
2021-10-01,965690309
2021-10-02,992719870
2021-10-03,1047522811
2021-10-04,1049094002
2021-10-05,1135604638
2021-10-06,1154092106
2021-10-07,1202990695
2021-10-08,1205895659
2021-10-09,1204610924
2021-10-10,1395349583
2021-10-11,1380811259
2021-10-12,1455980881
2021-10-13,1524632751
2021-10-14,1587198134
2021-10-15,1629868586
2021-10-16,1633332447
2021-10-17,1659748840
2021-10-18,1676633346
2021-10-19,1713321687
2021-10-20,1759395962
2021-10-21,1836076516
2021-10-22,1807474334
2021-10-23,1777470479
2021-10-24,1848635282
2021-10-25,1868999517
2021-10-26,1906541596
2021-10-27,2188325276
2021-10-28,2175788089
2021-10-29,2301829099
2021-10-30,2319507336
2021-10-31,2300267075
2021-11-01,2416302863
2021-11-02,2492208097
2021-11-03,2578805599
2021-11-04,2586001410
2021-11-05,2567412795
2021-11-06,2555828592
2021-11-07,2486623383
2021-11-08,2563375985
2021-11-09,2636667459
2021-11-10,2600002548
2021-11-11,2534653651
2021-11-12,2586645839
2021-11-13,2548438116
2021-11-14,2521884495
2021-11-15,2547013753
2021-11-16,2468498433
2021-11-17,2320974219
2021-11-18,2334711769
2021-11-19,2213452527
2021-11-20,2268658133
2021-11-21,2304586925
2021-11-22,2285744255
2021-11-23,2171313270
2021-11-24,2225584102
2021-11-25,2220835559
2021-11-26,2247688193
2021-11-27,2027570318
2021-11-28,2007780603
2021-11-29,1924680733
2021-11-30,1947386932
2021-12-01,1980965797
2021-12-02,1930463897
2021-12-03,1909851817
2021-12-04,1766261750
2021-12-05,1722999531
2021-12-06,1766115339
2021-12-07,1815388273
2021-12-08,1823088289
2021-12-09,1897478264
2021-12-10,1807977527
2021-12-11,1758522967
2021-12-12,1806802927
2021-12-13,1822664949
2021-12-14,1724286419
2021-12-15,1661504549
2021-12-16,1729795976
2021-12-17,1703217333
2021-12-18,1676933047
2021-12-19,1706430082
2021-12-20,1699556211
2021-12-21,1733584489
2021-12-22,1776588353
2021-12-23,1778253612
2021-12-24,1837708685
2021-12-25,1835081329
2021-12-26,1845341589
2021-12-27,1847538483
2021-12-28,1861719957
2021-12-29,1791997465
2021-12-30,1751614415
2021-12-31,1775161249
2022-01-01,1686459388
2022-01-02,1716748310
2022-01-03,1771489040
2022-01-04,1787135388
2022-01-05,1926674872
2022-01-06,1848309040
2022-01-07,1822120115
2022-01-08,1756599372
2022-01-09,1713764663
2022-01-10,1735916148
2022-01-11,1702979874
2022-01-12,1762377223
2022-01-13,1793909156
2022-01-14,1821049638
2022-01-15,1865775174
2022-01-16,1902246286
2022-01-17,1841479403
2022-01-18,1759393005
2022-01-19,1739776716
2022-01-20,1724450476
2022-01-21,1664610104
2022-01-22,1429100338
2022-01-23,1267566172
2022-01-24,1351794990
2022-01-25,1315399656
2022-01-26,1369916973
2022-01-27,1389779624
2022-01-28,1417245006
2022-01-29,1404874218
2022-01-30,1439333435
2022-01-31,1488837253
2022-02-01,1580196516
2022-02-02,1626140777
2022-02-03,1595859186
2022-02-04,1589446697
2022-02-05,1717669076
2022-02-06,1754978858
2022-02-07,1769874653
2022-02-08,1576954653
2022-02-09,1570529915
2022-02-10,1670692448
2022-02-11,1638361468
2022-02-12,1584852258
2022-02-13,1575276002
2022-02-14,1569675768
2022-02-15,1585327913
2022-02-16,1654031134
2022-02-17,1637422629
2022-02-18,1567955018
2022-02-19,1544138212
2022-02-20,1544248129
2022-02-21,1505734137
2022-02-22,1482077277
2022-02-23,1487902652
2022-02-24,1526299680
2022-02-25,1512824206
2022-02-26,1525065230
2022-02-27,1525783110
2022-02-28,1547917689
2022-03-01,1629159012
2022-03-02,1668986739
2022-03-03,1673891965
2022-03-04,1551200805
2022-03-05,1480879134
2022-03-06,1476365386
2022-03-07,1423756232
2022-03-08,1403763668
2022-03-09,1435827720
2022-03-10,1461317761
2022-03-11,1429517325
2022-03-12,1419590388
2022-03-13,1427607737
2022-03-14,1414371015
2022-03-15,1431298738
2022-03-16,1450820292
2022-03-17,1531313761
2022-03-18,1535042888
2022-03-19,1573754747
2022-03-20,1568878983
2022-03-21,1527707851
2022-03-22,1660374166
2022-03-23,1707899817
2022-03-24,1757674391
2022-03-25,1811720262
2022-03-26,1868741399
2022-03-27,1718170144
2022-03-28,1772871887
2022-03-29,1783266466
2022-03-30,1794314791
2022-03-31,1753403144
2022-04-01,1730188409
2022-04-02,1774268086
2022-04-03,1773724791
2022-04-04,1782741538
2022-04-05,1787851969
2022-04-06,1766124830
2022-04-07,1718962318
