pool,project,symbol,chain,tvlUsd,apy,apyBase,apyReward,apyMean30d,sigma,mu,stablecoin,ilRisk,exposure,outlier,prediction_class,prediction_prob_pct,poolMeta
9d499222-a01a-45bb-bbc9-f01c7923693b,spark-savings,USDS,Arbitrum,359347868,3.6,3.6,,3.62524,0.00128,3.62714,True,no,single,False,Stable/Up,71.0,
3637ce7b-529b-49c1-964c-710a50b2939c,sky-lending,SUSDS,Arbitrum,359347868,3.6,3.6,,3.62546,0.00693,3.75247,True,no,single,False,Stable/Up,88.0,
712ce948-bd9e-4f4a-8916-b72c447f7578,usd-ai,SUSDAI,Arbitrum,289625627,7.95,7.95,,7.29378,0.04881,6.82127,True,no,single,False,Down,62.0,30d unlock
7c5e69a4-2430-4fa2-b7cb-857f79d7d1bf,aave-v3,WBTC,Arbitrum,154645369,0.04258,0.04258,,0.04712,0.01196,0.13666,False,no,single,False,Stable/Up,82.0,
3df9ffeb-8c72-438c-a9ae-026488d8f2b2,aave-v3,WEETH,Arbitrum,71732697,3e-05,3e-05,,2e-05,0.00566,0.05548,False,no,single,False,Stable/Up,78.0,
d3abc08b-8d68-412c-9c77-f31b7bfba672,pancakeswap-amm,WETH-GFC,Arbitrum,67518464,0.0,0.0,,0.0,0.0,0.0,False,yes,multi,False,,,
d9fa8e14-0447-4207-9ae8-7810199dfa1f,aave-v3,USDC,Arbitrum,52661381,2.06529,2.06529,,2.75102,0.16603,5.15024,True,no,single,False,Stable/Up,87.0,
4c45cc9e-e1a4-43c9-8a3d-687d96abb07c,fluid-lending,USDC,Arbitrum,39092610,4.97,4.97,,5.65949,0.13021,7.10114,True,no,single,False,Stable/Up,61.0,
9f9b14d8-4eaa-4718-85e9-43ca843f6dc6,fluid-lending,USD₮0,Arbitrum,38927430,4.97,4.97,,5.05066,0.14507,7.32747,False,no,single,False,Stable/Up,70.0,
5b8c0691-b9ff-4d82-97e4-19a1247e6dbf,gmx-v2-perps,WBTC.B-USDC,Arbitrum,35785632,17.54236,17.54236,,10.00347,0.41191,15.3001,False,yes,multi,False,Down,57.99999999999999,
6fc8395f-40c4-42c1-9002-c2b48c5e4c48,pendle,USDAI,Arbitrum,35228950,7.53611,7.53611,,6.90533,0.04462,5.98621,True,no,single,False,Down,73.0,For buying PT-USDai-18JUN2026
d2bc2c4d-2080-4ad2-ba0f-ef4d6d6e5189,pendle,USDAI,Arbitrum,35228950,1.38547,1.35657,0.0289,1.22445,0.17976,3.66511,True,no,single,False,Stable/Up,77.0,For LP | Maturity 18JUN2026
e62bcb01-ed4c-4ec9-8cfa-e86e7ccf7688,aave-v3,WSTETH,Arbitrum,34775382,0.00033,0.00033,,0.00033,0.00078,0.00988,False,no,single,False,Stable/Up,84.0,
61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,gmx-v2-perps,ETH-USDC,Arbitrum,34389182,11.9236,11.9236,,8.37788,0.43722,17.14828,False,yes,multi,False,Stable/Up,69.0,
fcc621d6-24df-44a7-98b1-780f800638a6,fluid-lending,SUSDAI,Arbitrum,33775997,0.0,0.0,,0.0,0.0,0.0,True,no,single,False,,,
a14bd201-764c-40a5-86b8-2928b2461232,uniswap-v3,WETH-USDC,Arbitrum,33282976,29.74617,29.74617,,23.29385,1.13875,50.04673,False,yes,multi,True,Stable/Up,56.00000000000001,0.05%
bb7e9353-129f-4e01-b822-f4250d0abb8a,uniswap-v3,WBTC-WETH,Arbitrum,29074554,15.39868,15.39868,,12.73366,0.68955,18.41628,False,yes,multi,False,Down,52.0,0.05%
e302de4d-952e-4e18-9749-0a9dc86e98bc,aave-v3,WETH,Arbitrum,28471286,1.00039,1.00039,,1.1777,0.0333,1.49075,False,no,single,False,Stable/Up,76.0,
915366de-ac1f-47e9-bf8e-ec15fa1df6ec,fluid-lending,SUSDAI,Arbitrum,26473040,0.0,0.0,,0.0,0.0,0.0,True,no,single,False,,,
1f73ccbf-189e-4471-9e5c-46151b505d7d,blackrock-buidl,BUIDL,Arbitrum,25559000,3.19784,3.19784,,3.21537,0.00271,3.2127,True,no,single,False,Stable/Up,73.0,
4e65a45b-7bd9-4268-b8cd-3b0a0f764b4d,uniswap-v3,USDT-MIM,Arbitrum,19770500,1e-05,1e-05,,0.00069,5e-05,0.00042,True,no,multi,False,Stable/Up,78.0,0.05%
9605b661-5066-4aeb-b2f6-119db53e9d79,fluid-dex,SUSDAI-USD₮0,Arbitrum,17763831,0.899,0.899,,0.33659,0.07592,0.56239,False,yes,multi,False,Down,61.0,
8e68dfc4-646e-4fdc-b068-891296c80fb5,fluid-dex,SUSDAI-USDC,Arbitrum,17381315,0.4319,0.4319,,0.45248,0.08255,0.97235,True,no,multi,False,Stable/Up,53.0,
0ba9d450-b306-4889-85ed-83dfca983e60,compound-v3,WBTC,Arbitrum,12451771,0.0,,,0.0,0.0,0.0,False,no,single,False,,,USDC-pool
5e2aac09-71c8-4092-ba4f-00f1ac0d04fd,gmx-v2-perps,ETH-ETH,Arbitrum,12423739,11.56412,11.56412,,5.53623,0.27261,7.43693,False,no,multi,False,Down,78.0,
a334a33e-4e77-433d-8221-1fa6316eaac1,compound-v3,WBTC,Arbitrum,12251776,0.0,,,0.0,0.0,0.0,False,no,single,False,,,USDT-pool
ae3c1ac2-ad79-4a8d-8aa9-3f2a6c394ab4,uniswap-v4,DORY-USDC,Arbitrum,11935577,39.47889,39.47889,,73.68462,0.82497,40.81277,False,yes,multi,True,Down,65.0,1.00%
55d53cce-4455-4085-8245-557257d9fe61,pendle,SUSDAI,Arbitrum,10974993,8.55734,8.38376,0.17358,8.11208,0.07238,8.56586,True,no,single,False,Stable/Up,65.0,For LP | Maturity 15OCT2026
894ef05d-8143-4fa2-9a1c-bebc14686337,pendle,SUSDAI,Arbitrum,10974993,10.09179,10.09179,,9.61403,0.04322,8.628,True,no,single,False,Down,54.0,For buying PT-sUSDai-15OCT2026
940650fd-f695-4178-b438-cc52a7cd59e9,morpho-blue,BITGETUSDT0,Arbitrum,9586098,4.06189,4.06189,0.0,2.63965,0.0818,3.22604,True,no,single,False,Stable/Up,52.0,
